FID,Match_addr,Addr_type,StAddr,City,Region,Postal,Country,X,Y,DisplayX,DisplayY,ARC_Single,AGENCY,NAME,YOUTH_FACI,THRIRTYFIV,FRTHGRD_RE,AVAIL_STAF,BEST_TIMES,WEBSITE,PHONE_1,AddressLin,Latitude,Longitude,ADV_RES_RE,EKIP_VOUCH
283,"301 Riverlands Way, West Alton, Missouri, 63386",StreetAddress,301 Riverlands Way,West Alton,Missouri,63386,USA,-90.180691,38.867761,-90.180691,38.867761,"301 Riverlands Way, West Alton, Illinois 63386", Army Corps,Mississippi River between Missouri River and Minneapolis (MVS Portion),National Great Rivers Museum, ,Mississippi River Conservation,Y,Year Around,http://www.mvs.usace.army.mil/Missions/Recreation/RiversProjectOffice.aspx,Kimberly Rea/636-899-0050/Kimerly.G.Rea@usace.army.mil,"301 Riverlands Way, West Alton, Illinois 63386",38.867761,-90.180691, ,
284,"IL 16, Shelbyville, Illinois, 62565",StreetName,IL 16,Shelbyville,Illinois,62565,USA,-88.792942,39.406691,-88.792942,39.406691,"1989 State Highway 16, Shelbyville, Illinois 62565", Army Corps,Lake Shelbyville,Visitor Center/Outdoor Classroom, ,Outdoor Education,Y,April,http://www.mvs.usace.army.mil/Missions/Recreation/LakeShelbyville.aspx,"Phil Manhart/217-774-3951, ext 7010/Phil.J.Manhart@usace.army.mil","1989 State Highway 16, Shelbyville, Illinois 62565",39.406691,-88.792942, ,
285,"801 Lake Rd, Carlyle, Illinois, 62231",StreetAddress,801 Lake Rd,Carlyle,Illinois,62231,USA,-89.363276,38.614272,-89.363276,38.614272,"801 Lake Road, Carlyle, Illinois 62231", Army Corps,Carlyle Lake,Visitor Center/Outdoor Classroom, ,Outdoor Education,Y,April,http://www.mvs.usace.army.mil/Missions/Recreation/CarlyleLake.aspx,Doug Wasmuth/618-594-2484/Douglas.E.Wasmuth@usace.army.mil,"801 Lake Road, Carlyle, Illinois 62231",38.614272,-89.363276, ,
286,"11981 Rend City Rd, Benton, Illinois, 62812",PointAddress,11981 Rend City Rd,Benton,Illinois,62812,USA,-88.985806,38.034677,-88.987201,38.03458,"11981 Rend City Rd, Benton, Illinois 62812", Army Corps,Rend Lake,Visitor Center/Outdoor Classroom, ,Outdoor Education,Y,April,http://www.mvs.usace.army.mil/Missions/Recreation/RendLake.aspx,Dawn Kovarik/618-724-2493/Dawn.M.Kovarik@usace.army.mil,"11981 Rend City Rd, Benton, Illinois 62812",38.034677,-88.985806, ,
287,"47868, Poland, Indiana",Postal, ,Poland,Indiana,47868,USA,-86.888598,39.413416,-86.888598,39.413416,"11979 S. County Road 375W, Poland, Indiana 47868-3909", Army Corps,Cagles Mill Lake,Outdoor classroom, ,Water Safety and Outdoor Ed,Y Limited,Summer,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CaglesMillLake.aspx,"Clark Baker, Park Manager/765-795-4439/clark.baker@usace.army.mil","11979 S. County Road 375W, Poland, Indiana 47868-3909",39.413416,-86.888598, ,
288,"5600 NW 78th Ave, Johnston, Iowa, 50131",StreetAddress,5600 NW 78th Ave,Johnston,Iowa,50131,USA,-93.69653,41.700572,-93.69653,41.700572,"5600 NW 78th Avenue, Johnston, Iowa 50131", Army Corps,Saylorville Lake,Visitor Center, ,Earth Day,Y,April,http://www.mvr.usace.army.mil/Missions/Recreation/SaylorvilleLake.aspx,"Jeff Rose/515-276-4656, ext 6504/Jeffrey.W.Rose@usace.army.mil","5600 NW 78th Avenue, Johnston, Iowa 50131",41.700572,-93.69653, ,
289,"1105 Highway T15, Knoxville, Iowa, 50138",StreetAddress,1105 Highway T15,Knoxville,Iowa,50138,USA,-92.988021,41.363239,-92.988021,41.363239,"1105 North Highway T15, Knoxville, Iowa 50138", Army Corps,Lake Red Rock,Outdoor classroom, ,Outdoor Education,"Y, Rangers",May,http://www.mvr.usace.army.mil/Missions/Recreation/LakeRedRock.aspx,"Brett Call/641-828-7522, ext 6401/Brett.E.Call@usace.army.mil","1105 North Highway T15, Knoxville, Iowa 50138",41.363239,-92.988021, ,
290,"2850 Prairie du Chien Rd NE, Iowa City, Iowa, 52240",StreetAddress,2850 Prairie du Chien Rd NE,Iowa City,Iowa,52240,USA,-91.523987,41.724391,-91.523987,41.724391,"2850 Prairie Du Chien Rd NE, Iowa City, Iowa 52240-7820", Army Corps,Coraville Lake,Outdoor classroom, ,Outdoor Education,"Y, Rangers",June-July,http://www.mvr.usace.army.mil/Missions/Recreation/CoralvilleLake.aspx,"Howard ""Dee"" Goldman/319-338-3543, ext 6304/Howard.D.Goldman@usace.army.mil","2850 Prairie Du Chien Rd NE, Iowa City, Iowa 52240-7820",41.724391,-91.523987, ,
291,"872 N 1402 Rd, Lawrence, Kansas, 66049",StreetAddress,872 N 1402 Rd,Lawrence,Kansas,66049,USA,-95.339787,38.942839,-95.339787,38.942839,"872 N. 1402 Rd, Lawrence, Kansas 66049", Army Corps,Clinton Lake,Outdoor classroom, ,Fisheries Management and Invasive Species,Y,May - Aug,http://www.nwk.usace.army.mil/Locations/DistrictLakes/ClintonLake.aspx,Kyle Broockerd/816-389-2416/ kyle.j.broockerd@usace.army.mil,"872 N. 1402 Rd, Lawrence, Kansas 66049",38.942839,-95.339787, ,
292,"945 Lake Rd, Council Grove, Kansas, 66846",StreetAddress,945 Lake Rd,Council Grove,Kansas,66846,USA,-96.502724,38.67305,-96.502724,38.67305,"945 Lake Road, Council Grove, Kansas 66861", Army Corps,El Dorado Lake,Outdoor classroom, ,Water Safety,Y,Summer,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Kansas/ElDoradoLake.aspx,Amanda Palmer/9186694903/amanda.palmer@usace.army.mil,"945 Lake Road, Council Grove, Kansas 66861",38.67305,-96.502724, ,
293,"544 Lake Rd, Campbellsville, Kentucky, 42718",StreetAddress,544 Lake Rd,Campbellsville,Kentucky,42718,USA,-85.34179,37.235226,-85.34179,37.235226,"544 Lake Road, Campbellsville, Kentucky 42718", Army Corps,Green River Lake,Outdoor classroom and Visitor Center, ,Water Safety and Outdoor Ed,Y,Summer,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/GreenRiverLake.aspx,Park Manager/270-465-4463,"544 Lake Road, Campbellsville, Kentucky 42718",37.235226,-85.34179, ,
294,"700 Clyde Fant Pky, Shreveport, Louisiana, 71101",StreetAddress,700 Clyde Fant Pky,Shreveport,Louisiana,71101,USA,-93.742784,32.514865,-93.742784,32.514865,"700 Clyde Fant Parkway, Shreveport, Louisiana 71101", Army Corps,J Bennett Johnston Waterway,Outdoor Education & Visitor Center, ,Forestry Awareness,Y with partner support,September,http://www.mvk.usace.army.mil/Missions/Recreation/JBennettJohnstonVisitorCenter.aspx,Joey Minter/ 318-422-3351/Joseph.B.Minter@usace.army.mil,"700 Clyde Fant Parkway, Shreveport, Louisiana 71101",32.514865,-93.742784, ,
295,"River Rd, Norco, Louisiana, 70079",StreetName,River Rd,Norco,Louisiana,70079,USA,-90.408864,29.995096,-90.408864,29.995096,"16302 River Road, Norco, Louisiana 70079", Army Corps,Bonnet Carre Spillway,Outdoor Education Center, ,Outdoor Education-    Wetland Watchers Event,Y,April,http://www.mvn.usace.army.mil/Missions/Recreation/BonnetCarreSpillway.aspx,Skip Jacobs/504-491-8368/emile.h.jacobs@usace.army.mil,"16302 River Road, Norco, Louisiana 70079",29.995096,-90.408864, ,
296,"112 Speck Ln, Port Barre, Louisiana, 70577",StreetAddress,112 Speck Ln,Port Barre,Louisiana,70577,USA,-91.962594,30.545828,-91.962594,30.545828,"112 Speck Lane, Port Barre, Louisiana 70577", Army Corps,Atchafalaya Basin Floodway System - Sherburne Refuge Headquarters,Outdoor Education Center, ,Step Outside Day Event,Y,May,http://www.mvn.usace.army.mil/Missions/Recreation/AtchafalayaBasin.aspx,Steve Stone/337-351-9020/stephen.m.stone@usace.army.mil,"112 Speck Lane, Port Barre, Louisiana 70577",30.545828,-91.962594, ,
297,"Ed Moffitt Dr, Sandwich, Massachusetts, 02563",StreetName,Ed Moffitt Dr,Sandwich,Massachusetts,2563,USA,-70.502023,41.77092,-70.502023,41.77092,"60 Ed Moffitt Drive, Sandwich, Massachusetts 2563", Army Corps,Cape Cod Canal,"Outdoor classroom, visitor center", ,"Water Safety/Outdoor Ed/Canal History, use, importance",Y,Year Around,http://www.nae.usace.army.mil/Missions/Recreation/CapeCodCanal.aspx,508-833-9678,"60 Ed Moffitt Drive, Sandwich, Massachusetts 2563",41.77092,-70.502023, ,
298,"9055 1st St W, Watson, Minnesota, 56295",StreetAddress,9055 1st St W,Watson,Minnesota,56295,USA,-95.778531,45.022043,-95.778531,45.022043,"9055 1 ST Street West, Watson, Minnesota 56295-0177", Army Corps,"Lac Qui Parle Lakes, Minnesota River",Lake, ,Water Safety,Y,July/August,http://www.mvp.usace.army.mil/Missions/Recreation/LacquiParle.aspx,Randy Melby/320-269-6303/randy.d.melby@usace.army.mil,"9055 1 ST Street West, Watson, Minnesota 56295-0177",45.022043,-95.778531, ,
299,"MS 315, Sardis, Mississippi, 38666",StreetName,MS 315,Sardis,Mississippi,38666,USA,-89.932405,34.4371,-89.932405,34.4371,"2400 Highway 315 Scenic Route, Sardis, Mississippi 38666", Army Corps,Sardis Lake,Outdoor Classroom, ,Water Safety and Outdoor Ed,Y,Year Around,http://www.mvk.usace.army.mil/Missions/Recreation/SardisLake.aspx,Chris Hannaford/662-563-4571/christopher.j.hannaford@usace.army.mil,"2400 Highway 315 Scenic Route, Sardis, Mississippi 38666",34.4371,-89.932405, ,
300,"38927, Enid, Mississippi",Postal, ,Enid,Mississippi,38927,USA,-90.012609,34.139084,-90.012609,34.139084,"264 County Road 39, Enid, Mississippi 38927", Army Corps,Enid Lake,Outdoor Classroom, ,Water Safety and Outdoor Ed,Y,Year Around,http://www.mvk.usace.army.mil/Missions/Recreation/EnidLake.aspx,Chris Gurner/662-712-1163/chris.r.gurner@usace.army.mil,"264 County Road 39, Enid, Mississippi 38927",34.139084,-90.012609, ,
301,"Scenic Loop 333, Grenada, Mississippi, 38901",StreetName,Scenic Loop 333,Grenada,Mississippi,38901,USA,-89.7771,33.837805,-89.7771,33.837805,"2202 Scenic Loop 333, Grenada, Mississippi 38901", Army Corps,Grenada Lake,Outdoor Classroom, ,Water Safety and Outdoor Ed,Y,Year Around,http://www.mvk.usace.army.mil/Missions/Recreation/GrenadaLake.aspx,Artie Hoff /662-227-0237 /Arthur.S.Hoff@usace.army.mil,"2202 Scenic Loop 333, Grenada, Mississippi 38901",33.837805,-89.7771, ,
302,"3905 Arkabutla Dam Rd, Coldwater, Mississippi, 38618",StreetAddress,3905 Arkabutla Dam Rd,Coldwater,Mississippi,38618,USA,-90.13057,34.750356,-90.13057,34.750356,"3905 Arkabutla Dam Road, Coldwater, Mississippi 38618-9737", Army Corps,Arkabutla Lake,Outdoor Classroom, ,Water Safety and Outdoor Ed,Y,Year Around,http://www.mvk.usace.army.mil/Missions/Recreation/ArkabutlaLake.aspx,Jamie Richmond/662-301-4571/Jamie.a.richmond@usace.army.mil,"3905 Arkabutla Dam Road, Coldwater, Mississippi 38618-9737",34.750356,-90.13057, ,
303,"10992 Highway T, Wappapello, Missouri, 63966",StreetAddress,10992 Highway T,Wappapello,Missouri,63966,USA,-90.286274,36.922487,-90.286274,36.922487,"10992 Highway T, Wappapello, Missouri 63966-9603", Army Corps,Wappapello Lake,Fishing pier and pond, ,Annual Kids Fun Day (Fishing Derby),Y,June,http://www.mvs.usace.army.mil/Missions/Recreation/WappapelloLake.aspx,Andrew Jefferson/573-222-8562/Andrew.Jefferson@usace.army.mil,"10992 Highway T, Wappapello, Missouri 63966-9603",36.922487,-90.286274, ,
304,"20642 Highway J, Monroe City, Missouri, 63456",StreetAddress,20642 Highway J,Monroe City,Missouri,63456,USA,-91.647181,39.533442,-91.647181,39.533442,"20642 Hwy J, Monroe City, Missouri 63456", Army Corps,Clarence Cannon Dam and Mark Twain Lake,"Visitor Center, Outdoor Classroom, Trail", ,Annual Antler Shed Hunt for Youth,"Y, Interpreter",February,http://www.mvs.usace.army.mil/Missions/Recreation/MarkTwainLake.aspx,Mary Heitmeyer/573-735-4097/Mary.A.Heitmeyer@usace.army.mil,"20642 Hwy J, Monroe City, Missouri 63456",39.533442,-91.647181, ,
305,"15968 Truman Rd, Warsaw, Missouri, 65355",StreetAddress,15968 Truman Rd,Warsaw,Missouri,65355,USA,-93.411793,38.25999,-93.411793,38.25999,"15968 Truman Road, Warsaw, Missouri 65355", Army Corps,H.S. Truman,"Visitor Center., Outdoor Classroom", ,Senstive Species; Clean Energy; habitat mgt,Y,May - Aug,http://www.nwk.usace.army.mil/Locations/DistrictLakes/HarrySTrumanLake.aspx,Erin Cordrey/816-389-3810/erin.l.cordrey@usace.army.mil,"15968 Truman Road, Warsaw, Missouri 65355",38.25999,-93.411793, ,
306,"4600 MO 165, Branson, Missouri, 65616",StreetAddress,4600 MO 165,Branson,Missouri,65616,USA,-93.314011,36.591817,-93.314011,36.591817,"4600 State Highway 165, Branson, Missouri 65616-8980", Army Corps,Table Rock Lake,Visitor Center and Outdoor Classroom, ,"hydropower, clean energy,  endangered species, habitat management, water safety",Y,Year Around,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/TableRockLake.aspx,(501) 340-1950,"4600 State Highway 165, Branson, Missouri 65616-8980",36.591817,-93.314011, ,
307,"17877 MT 37, Libby, Montana, 59923",StreetAddress,17877 MT 37,Libby,Montana,59923,USA,-115.287344,48.433964,-115.287344,48.433964,"17877 Highway 37, Libby, Montana 59923-7828", Army Corps,Libby Dam,"Visitor Center., Outdoor Classroom", ,"Endangered Species, clean energy, clean water, habitat mgt",Y,"June,-August",http://www.nws.usace.army.mil/Missions/CivilWorks/LocksandDams/LibbyDam.aspx,(406) 293-7751,"17877 Highway 37, Libby, Montana 59923-7828",48.433964,-115.287344, ,
308,"2097 Maple St, Contoocook, New Hampshire, 03229",StreetAddress,2097 Maple St,Contoocook,New Hampshire,3229,USA,-71.749039,43.188169,-71.749039,43.188169,"2097 Maple Street, Contoocook, New Hampshire 3229", Army Corps,Hopkinton Everett Lakes,Outdoor classroom/Visitor Center, ,Water Safety and Outdoor Ed,Y,Year Around,http://www.nae.usace.army.mil/Missions/Recreation/HopkintonEverettLake.aspx, ,"2097 Maple Street, Contoocook, New Hampshire 3229",43.188169,-71.749039, ,
309,88416-1008,PostalExt, , , ,88416,USA,-103.724842,35.177811,-103.724842,35.177811,"287 Bell Ranch Road, Conchas, New Mexico 88416-1008", Army Corps,Conchas,Outdoor Classroom, ,Water Safety and Outdoor Ed,Y,Summer,http://www.spa.usace.army.mil/Missions/CivilWorks/Recreation/ConchasLake.aspx,575.868.2221,"287 Bell Ranch Road, Conchas, New Mexico 88416-1008",35.177811,-103.724842, ,
310,"6103 Visitor Center Rd, Mt Morris, Town of, New York, 14510",StreetAddress,6103 Visitor Center Rd,"Mt Morris, Town of",New York,14510,USA,-77.905615,42.729954,-77.905615,42.729954,"6103 Visitor Center Road, New York 14510", Army Corps,Mt. Morris Dam,Outdoor classroom and Visitor Center, ,Water Safety and Outdoor Ed,Y,Summer,http://www.lrb.usace.army.mil/Missions/Recreation/MountMorrisDam.aspx,"Steve Winslow, Park Manager/585-658-4790/stephen.e.winslow@usace.army.mil","6103 Visitor Center Road, New York 14510",42.729954,-77.905615, ,
311,"499 Reservoir Rd, Wilkesboro, North Carolina, 28697",StreetAddress,499 Reservoir Rd,Wilkesboro,North Carolina,28697,USA,-81.22587,36.130045,-81.22587,36.130045,"499 Reservoir Road, Wilkesboro, North Carolina 28697", Army Corps,W. Kerr Scott Lake,"Visitor Center, Environmental Education Center,  Outdoor Classroom, Trails,  Native Tree Trail", ,Hands-On Environmental Education and Water Safety Programs,"Y, Interpreter, Natural Resource Specialists, Partners, Volunteers",Year Round,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/WKerrScott.aspx,Scott Graham/336-921-3390/scott.t.graham@usace.army.mil,"499 Reservoir Road, Wilkesboro, North Carolina 28697",36.130045,-81.22587, ,
312,"2080 Jordan Dam Rd, Moncure, North Carolina, 27559",StreetAddress,2080 Jordan Dam Rd,Moncure,North Carolina,27559,USA,-79.071994,35.653676,-79.071994,35.653676,"2080 Jordan Dam Road, Moncure, North Carolina 27559", Army Corps,B. Everett Jordan Dam and Lake,"Visitor Center, Outdoor Classroom, Trails, Native Wildflowers, Herpetology Pond", ,Hands-On Environmental Education and Water Safety Programs,"Y, Interpreter, Natural Resource Specialists, Partners",Year Round,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/BEverettJordan.aspx,Stacee Henderson/919-846-9332 x232 or 919-542-4501 x35/stacee.l.henderson@usace.army.mil,"2080 Jordan Dam Road, Moncure, North Carolina 27559",35.653676,-79.071994, ,
313,"11405 Falls of Neuse Rd, Wake Forest, North Carolina, 27587",StreetAddress,11405 Falls of Neuse Rd,Wake Forest,North Carolina,27587,USA,-78.586504,35.928963,-78.586504,35.928963,"11405_Falls_of Neuse Road, Wake Forest, North Carolina 27614", Army Corps,Falls Lake,"Visitor Center, Outdoor Classroom, Trails, Native Wildflowers, Small Herpetology Pond", ,Hands-On Environmental Education and Water Safety Programs,"Y, Interpreter, Natural Resource Specialists, Partners",Year Round,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/FallsLake.aspx,Stacee Henderson/919-846-9332 x232/stacee.l.henderson@usace.army.mil,"11405_Falls_of Neuse Road, Wake Forest, North Carolina 27614",35.928963,-78.586504, ,
314,"645 Lock Rd, Elizabethtown, North Carolina, 28337",StreetAddress,645 Lock Rd,Elizabethtown,North Carolina,28337,USA,-78.57946,34.622289,-78.57946,34.622289,"645 Lock #2 Road, Elizabethtown, North Carolina 28337", Army Corps,Cape Fear Locks & Dams,"Small Visitor Area, Outdoor Classroom, Trail, Rain Garden", ,Hands-On Environmental Education and Water Safety Programs,"Y,  Natural Resource Specialist, Partners",Year Round,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/CapeFearLocksandDams.aspx,Tom Charles/910-655-2605/thomas.p.charles@usace.army.mil,"645 Lock #2 Road, Elizabethtown, North Carolina 28337",34.622289,-78.57946, ,
315,"2630 114th Ave SE, Valley City, North Dakota, 58072",StreetAddress,2630 114th Ave SE,Valley City,North Dakota,58072,USA,-98.086365,47.035049,-98.086365,47.035049,"2630 114th Ave. SE, Valley City, North Dakota 58072-9795", Army Corps,Lake Ashtabula and Baldhill Dam,Outdoor classroom, ,Outdoor Education,Y,April,http://www.mvp.usace.army.mil/Missions/Recreation/LakeAshtabulaBaldhillDam.aspx,Scott Tichy/701-845-2970/scott.c.tichy@usace.army.mil,"2630 114th Ave. SE, Valley City, North Dakota 58072-9795",47.035049,-98.086365, ,
316,"58565, Riverdale, North Dakota",Postal, ,Riverdale,North Dakota,58565,USA,-101.369398,47.49746,-101.369398,47.49746,"597 Garrison Dam Rd, Riverdale, North Dakota 58565", Army Corps,Garrison,Outdoor classroom, ,Flood control,y,June-Aug,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/Garrison.aspx, ,"597 Garrison Dam Rd, Riverdale, North Dakota 58565",47.49746,-101.369398, ,
317,"4020 Clarksville Rd, Waynesville, Ohio, 45068",StreetAddress,4020 Clarksville Rd,Waynesville,Ohio,45068,USA,-84.059628,39.483199,-84.059628,39.483199,"4020 N. Clarksville Road, Waynesville, Ohio 45068-9408", Army Corps,Caesars Creek Lake,Outdoor classroom and Visitor Center, ,Outdoor Education and Water Safety,Y,Summer,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CaesarCreekLake.aspx,"Chris Rapenchuk, Park Manager/513-897-1050/christopher.t.rapenchuk@usace.army.mil","4020 N. Clarksville Road, Waynesville, Ohio 45068-9408",39.483199,-84.059628, ,
318,"74462, Stigler, Oklahoma",Postal, ,Stigler,Oklahoma,74462,USA,-95.107059,35.260812,-95.107059,35.260812,"102 E BK 200 Rd,_Stigler, Oklahoma 74462", Army Corps,Eufaula Lake,Outdoor Classroom, ,Outdoor Education and Water Safety,Y,Aug-Sep,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/EufaulaLake.aspx,Amanda Palmer/9186694903/amanda.palmer@usace.army.mil,"102 E BK 200 Rd,_Stigler, Oklahoma 74462",35.260812,-95.107059, ,
319,"351 Corps Rd, Denison, Texas, 75020",PointAddress,351 Corps Rd,Denison,Texas,75020,USA,-96.562889,33.816757,-96.562591,33.81709,"351 Corps Rd, Denison, Oklahoma 75020", Army Corps,Texoma Lake,Outdoor Classroom, ,"Outdoor, Water safety education and hunter safety",Y,Year Around,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/LakeTexoma.aspx,Amanda Palmer/9186694903/amanda.palmer@usace.army.mil,"351 Corps Rd, Denison, Oklahoma 75020",33.816757,-96.562889, ,
320,"WA 14, North Bonneville, Washington, 98639",StreetName,WA 14,North Bonneville,Washington,98639,USA,-121.967369,45.641984,-121.967369,45.641984,"WA-14, North, Bonneville, Oregon 98639", Army Corps,Bonneville Lock and Dam,"Visitor Center., Outdoor Classroom", ,"hydropower, clean energy, salmon migration, endangered species",Y,year-round,http://www.nwp.usace.army.mil/Locations/ColumbiaRiver/Bonneville.aspx,541-374-8820,"WA-14, North, Bonneville, Oregon 98639",45.641984,-121.967369, ,
321,"2442 Kelly Rd, Hermitage, Pennsylvania, 16148",StreetAddress,2442 Kelly Rd,Hermitage,Pennsylvania,16148,USA,-80.466379,41.266477,-80.466379,41.266477,"2442 Kelly Road, Hermitage, Pennsylvania 16148-7308", Army Corps,Shenango Lake,Visitor Center and Outdoor Classroom, ,Outdoor Education and Water Safety,Y,Summer,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/ShenangoRiverLake.aspx,"John Kolodziejski, Resource Manager/724-962-7746/John.j.kolodziejski@usace.army.mil","2442 Kelly Road, Hermitage, Pennsylvania 16148-7308",41.266477,-80.466379, ,
322,"6145 Seven Points Rd, Hesston, Pennsylvania, 16647",StreetAddress,6145 Seven Points Rd,Hesston,Pennsylvania,16647,USA,-78.096207,40.395771,-78.096207,40.395771,"6145 Seven Points Road, Hesston, Pennsylvania 16647", Army Corps,Raystown Lake,Outdoor classroom/Visitor Center, ,Water Safety and Outdoor Ed,Y,Year Around,http://www.nab.usace.army.mil/Missions/DamsRecreation/Raystown.aspx,814-658-3405,"6145 Seven Points Road, Hesston, Pennsylvania 16647",40.395771,-78.096207, ,
323,"4144 Russell Dam Dr, Elberton, Georgia, 30635",StreetAddress,4144 Russell Dam Dr,Elberton,Georgia,30635,USA,-82.606832,34.025015,-82.606832,34.025015,"4144 Russell Dam Drive, Elberton, South Carolina 30635-9271", Army Corps,Richard B. Russell Lake,Outdoor classroom/Visitor Center, ,Water Safety and Outdoor Ed,Y,Year round,http://www.sas.usace.army.mil/About/DivisionsandOffices/OperationsDivision/RichardBRussellDamandLake.aspx,706-213-3400,"4144 Russell Dam Drive, Elberton, South Carolina 30635-9271",34.025015,-82.606832, ,
324,"28563 Powerhouse Rd, Pierre, South Dakota, 57501",StreetAddress,28563 Powerhouse Rd,Pierre,South Dakota,57501,USA,-100.423753,44.525947,-100.423753,44.525947,"28563 Powerhouse Road, Pierre, South Dakota 57501", Army Corps,Oahe Dam,Outdoor classroom, ,"Energy extraction, flood control, habitat mgt",Y,"June, July Aug",http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/Oahe.aspx, ,"28563 Powerhouse Road, Pierre, South Dakota 57501",44.525947,-100.423753, ,
325,"Lancaster Rd, Lancaster, Tennessee, 38569",StreetName,Lancaster Rd,Lancaster,Tennessee,38569,USA,-85.844391,36.123226,-85.844391,36.123226,"270 Lancaster Road, Lancaster, Tennessee 38569", Army Corps,Center Hill Lake,Visitor Center and Outdoor Classroom, ,Outdoor Education and Water Safety,Y,Summer,http://www.lrn.usace.army.mil/Locations/Lakes/CenterHillLake.aspx,(931) 858-3125,"270 Lancaster Road, Lancaster, Tennessee 38569",36.123226,-85.844391, ,
326, , , , , , , ,0,0,0,0, , Army Corps,Canyon Lake,Outdoor Classroom, ,Sept 11 Freedom Walk/Natl Public Land Day/Outdoor Water Safety,Y,Year Around,http://www.swf-wc.usace.army.mil/canyon/,Mike McInnis/8178861577/mike.s.mcinnis@usace.army.mil, ,0,0, , 
327,"1801 N Mill St, Lewisville, Texas, 75057",StreetAddress,1801 N Mill St,Lewisville,Texas,75057,USA,-97.009273,33.071785,-97.009273,33.071785,"1801 N. Mill St, Lewisville, Texas 75057", Army Corps,Lewisville Lake,Outdoor Classroom, ,Outdoor Education and Water Safety,Y,Year Around,http://www.swf-wc.usace.army.mil/lewisville/,Mike McInnis/8178861577/mike.s.mcinnis@usace.army.mil,"1801 N. Mill St, Lewisville, Texas 75057",33.071785,-97.009273, ,
328,"3801 Zoo Park Dr, Waco, Texas, 76708",StreetAddress,3801 Zoo Park Dr,Waco,Texas,76708,USA,-97.215667,31.605794,-97.215667,31.605794,"3801 Zoo Park Dr, Waco, Texas 76708", Army Corps,Waco Lake,Outdoor Classroom, ,Outdoor Education and Water Safety,Y,Year Around,http://www.swf-wc.usace.army.mil/waco/,Mike McInnis/8178861577/mike.s.mcinnis@usace.army.mil,"3801 Zoo Park Dr, Waco, Texas 76708",31.605794,-97.215667, ,
329,"88 Ball Mountain Ln, Jamaica, Vermont, 05343",PointAddress,88 Ball Mountain Ln,Jamaica,Vermont,5343,USA,-72.798538,43.112241,-72.798301,43.11232,"88 Ball Mountain Lane, Jamaica, Vermont 5343", Army Corps,Ball Mountan Dam,Outdoor classroom/Visitor Center, ,Water Safety and Outdoor Ed,Y,Year Around,http://www.nae.usace.army.mil/Missions/Recreation/BallMountainLake.aspx,(802) 874-4881,"88 Ball Mountain Lane, Jamaica, Vermont 5343",43.112241,-72.798538, ,
330,"1930 Mays Chapel Rd, Boydton, Virginia, 23917",StreetAddress,1930 Mays Chapel Rd,Boydton,Virginia,23917,USA,-78.310621,36.595115,-78.310621,36.595115,"1930 Mays Chapel Road, Boydton, Virginia 23917", Army Corps,John H. Kerr Dam & Reservoir,"Visitor Center, Environmental Education Center,  Outdoor classroom, Trails, Butterfly Garden", ,Hands-On Environmental Education and Water Safety Programs,"Y, Interpreter, Natural Resource Specialists, Partners, Volunteers",Year Round,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/JohnHKerr.aspx,Renae Cox/434-738-6143 x6154/renae.c.cox@usace.army.mil,"1930 Mays Chapel Road, Boydton, Virginia 23917",36.595115,-78.310621, ,
331,"1058 Philpott Dam Rd, Bassett, Virginia, 24055",StreetAddress,1058 Philpott Dam Rd,Bassett,Virginia,24055,USA,-80.028168,36.777011,-80.028168,36.777011,"1058 Philpott Dam Road, Bassett, Virginia 24055", Army Corps,Philpott Lake,"Visitor Center, Outdoor Classroom, Trails", ,Hands-On Environmental Education and Water Safety Programs,"Y, Interpreter, Natural Resource Specialists, Partners, Volunteers",Year Round,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/Philpott.aspx,Dan LaPrad/276-629-2703/dannie.l.laprad@usace.army.mil,"1058 Philpott Dam Road, Bassett, Virginia 24055",36.777011,-80.028168, ,
332,"3015 NW 54th St, Seattle, Washington, 98107",StreetAddress,3015 NW 54th St,Seattle,Washington,98107,USA,-122.396385,47.6677,-122.396385,47.6677,"3015 NW 54th St, Seattle, Washington 98107", Army Corps,Lake Washington Ship Canal,"Visitor Center., Outdoor Classroom", ,"Fish passage, navigation lockages, horticulture",Y,Year Around,http://www.nws.usace.army.mil/Missions/CivilWorks/LocksandDams/ChittendenLocks.aspx,(206) 783-7059,"3015 NW 54th St, Seattle, Washington 98107",47.6677,-122.396385, ,
